id	filename	cellType	cellTypeSubtype	antibody	mappingGenome	dataSource	dataSourceGSM	description
BG162_B460002_cFos	BG162_B460002_cFos.bed	Mast	[PC] Mast cell	Fos	mm10	GSE48086	GSM1167585	Bone marrow cells were cultured in the presence of IL3 and SCF
BG26_PU1_HPC7	BG26_PU1_HPC7.bed	Multipotent myeloid progenitor	[CL] HPC-7	Spi1	mm10	GSE22178	GSM552240	N/A
BG43_Lmo2_HPC7	BG43_Lmo2_HPC7.bed	Multipotent myeloid progenitor	[CL] HPC-7	Lmo2	mm10	GSE22178	GSM552237	N/A
BG61_BG61r_Runx1_HP	BG61_BG61r_Runx1_HP.bed	Haematopoietic progenitor	[PCL] VE-cadherin- CD41+ (ES cell derived)	Runx1	mm10	GSE29515	GSM730632	N/A
BG83_5307_3_CTCF	BG83_5307_3_CTCF.bed	Multipotent myeloid progenitor	[CL] HPC-7	Ctcf	mm10	GSE48086	GSM1167572	Multipotent myeloid progenitor cell line derived from ES cells retrovirally transduced with Lh2.
BG87_5307_8_E2A	BG87_5307_8_E2A.bed	Multipotent myeloid progenitor	[CL] HPC-7	Tcf3	mm10	GSE48086	GSM1167573	Multipotent myeloid progenitor cell line derived from ES cells retrovirally transduced with Lh2.
BG98_5684_8_Gfi1b	BG98_5684_8_Gfi1b.bed	Leukemogenic	[CL] J2E Immature Erythroid	Gfi1b	mm10	PMID  22158964	PMID  22158964	E12 FL
c-Myb_GSM912903_MEL	c-Myb_GSM912903_MEL.bed	Mouse ErythroLeukaemic	[CL] MEL	Myb	mm10	GSE36030	GSM912903	NULL
c-Myc_GSM912934_MEL	c-Myc_GSM912934_MEL.bed	Mouse ErythroLeukaemic	[CL] MEL	Myc	mm10	GSE36030	GSM912934	NULL
CEBPa_GSM537984_Macrophages	CEBPa_GSM537984_Macrophages.bed	Macrophages	[PC] Peritoneal Macrophage	Cebpa	mm10	GSE21512	GSM537984	Thioglycollate-elicited peritoneal macrophages
CEBPb_GSM537985_Macrophages	CEBPb_GSM537985_Macrophages.bed	Macrophages	[PC] Peritoneal Macrophage	Cebpb	mm10	GSE21512	GSM537985	Thioglycollate-elicited peritoneal macrophages
CEBPb_GSM686970_day0_Adipocytes	CEBPb_GSM686970_day0_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpb	mm10	GSE27826	GSM686970	Day 0 (confluent)
CEBPb_GSM686971_2h_Adipocytes	CEBPb_GSM686971_2h_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpb	mm10	GSE27826	GSM686971	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 2 hrs.
CEBPb_GSM686972_4h_Adipocytes	CEBPb_GSM686972_4h_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpb	mm10	GSE27826	GSM686972	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 4 hrs.
CEBPb_GSM686973_day2_Adipocytes	CEBPb_GSM686973_day2_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpb	mm10	GSE27826	GSM686973	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 2 days.
CEBPd_GSM686974_day0_Adipocytes	CEBPd_GSM686974_day0_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpd	mm10	GSE27826	GSM686974	Day 0 (confluent)
CEBPd_GSM686975_4h_Adipocytes	CEBPd_GSM686975_4h_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Cebpd	mm10	GSE27826	GSM686975	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 4 hrs.
CHD2_GSM912929_MEL	CHD2_GSM912929_MEL.bed	Mouse ErythroLeukaemic	[CL] MEL	Chd2	mm10	GSE36030	GSM912929	NULL
CTCF_GSM1023416_Rag1-_DN_Thymo	CTCF_GSM1023416_Rag1-_DN_Thymo.bed	T-Cells	[PC] CD4-CD8- (Rag1 KO)	Ctcf	mm10	GSE41743	GSM1023416	CD4-CD8- (DN) thymocytes were obtained from 3-wk-old Rag1-/- mice
CTCF_GSM1023418_Rag1-_DP_Thymo	CTCF_GSM1023418_Rag1-_DP_Thymo.bed	T-Cells	[PC] CD4+CD8+ (Rag1 KO with TCRb transgene)	Ctcf	mm10	GSE41743	GSM1023418	CD4+ CD8+ (DP) thymocytes were obtained from Rag1 -/- with TCRbeta transgene 10 days after a single i.p. injection of anti-CD3 antibody.
CTCF_GSM1023420_Rag1-_Pro_B	CTCF_GSM1023420_Rag1-_Pro_B.bed	B-Cells	[PC] Pro-B-Cells (Rag1 KO)	Ctcf	mm10	GSE41743	GSM1023420	Rag1 -/- pro-B cells
CTCF_GSM535747_Pre-Adipocyte	CTCF_GSM535747_Pre-Adipocyte.bed	Pre-adipocyte	[CL] 3T3-L1 preadipocyte	Ctcf	mm10	GSE20752	GSM535747	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 2 days.
CTCF_GSM912896_MEL	CTCF_GSM912896_MEL.bed	Mouse ErythroLeukaemic	[CL] MEL	Ctcf	mm10	GSE36030	GSM912896	NULL
Elf1_GSM999184_Treg_T-Cells	Elf1_GSM999184_Treg_T-Cells.bed	T-Cells	[PC] CD4+ Treg	Elf1	mm10	GSE40684	GSM999184	Foxp3+ CD4+ T cells were sorted from spleens and lymph nodes of ~8-wk-old mice.
Elf1_GSM999185_TN_T-Cells	Elf1_GSM999185_TN_T-Cells.bed	T-Cells	[PC] CD4+ (Foxp3 KO)	Elf1	mm10	GSE40684	GSM999185	Foxp3- CD4+ T cells were isolated from spleens and lymph nodes of ~8 wk old mice.
ERX206185_87_Gata_1_Ter119_neg	ERX206185_87_Gata_1_Ter119_neg.bed	Erythroid	[PC] Ter119- Erythroblasts	Gata1	mm10	ERA195911	ERX206185-ERX206187	Fetal liver cells from day E12.5 C57/BL6 mouse embryos expanded for 3 days in serum free medium (Papadopoulos GL. 2013) Ter119-
ERX206186_89_Gata_1_Ter119_pos	ERX206186_89_Gata_1_Ter119_pos.bed	Erythroid	[PC] Ter119+ Erythrocytes	Gata1	mm10	ERA195911	ERX206186-ERX206189	Fetal liver cells from day E12.5 C57/BL6 mouse embryos expanded for 3 days in serum free medium (Papadopoulos GL. 2013) Ter119+
Eto2_ERX002124_MEL	Eto2_ERX002124_MEL.bed	Mouse ErythroLeukaemic	[CL] C88 MEL	Cbfa2t3	mm10	ERA000161	ERX002124	Eto2 non-induced ChIP
Eto2_ERX002126_MEL	Eto2_ERX002126_MEL.bed	Mouse ErythroLeukaemic	[CL] C88 MEL	Cbfa2t3	mm10	ERA000161	ERX002126	Eto2 induced ChIP
Ets1_GSM777093_G1ME_MK-Prog	Ets1_GSM777093_G1ME_MK-Prog.bed	Megakaryocyte Progenitors	[CL] G1ME (Gata1 null)	Ets1	mm10	GSE31331	GSM777093	NULL
Ets1_GSM999186_Treg_T-Cells	Ets1_GSM999186_Treg_T-Cells.bed	T-Cells	[PC] CD4+ Treg 	Ets1	mm10	GSE40684	GSM999186	Foxp3+ CD4+ T cells were isolated from spleens and lymph nodes of ~8 wk old mice.
Ets1_GSM999187_CD4_T-Cells	Ets1_GSM999187_CD4_T-Cells.bed	T-Cells	[PC] CD4+ (Foxp3 KO)	Ets1	mm10	GSE40684	GSM999187	Foxp3- CD4+ T cells were sorted from spleens and lymph nodes of ~8-wk-old mice.
Foxp3_GSM999179_80_82_Treg_T-Cells	Foxp3_GSM999179_80_82_Treg_T-Cells.bed	T-Cells	[PC] CD4+ Treg 	Foxp3	mm10	GSE40684	GSM999179-GSM999180-GSM999182	Foxp3+ CD4+ T cells were sorted from spleens and lymph nodes of ~8-wk-old mice.
Gata1_ERX002128_MEL	Gata1_ERX002128_MEL.bed	Mouse ErythroLeukaemic	[CL] C88 MEL	Gata1	mm10	ERA000161	ERX002128	Gata1 non-induced ChIP
Gata1_ERX002130_MEL	Gata1_ERX002130_MEL.bed	Mouse ErythroLeukaemic	[CL] C88 MEL	Gata1	mm10	ERA000161	ERX002130	Gata1 induced ChIP
Gata1_GSM777092_G1ME_MK-Prog	Gata1_GSM777092_G1ME_MK-Prog.bed	Megakaryocyte Progenitors	[CL] G1ME (Gata1 null); HA-Gata1	Gata1	mm10	GSE31331	GSM777092	ChIPs were performed 48 hours after transduction with HA-GATA1 retrovirus (antibody used HA)
Gata1_GSM912907_MEL	Gata1_GSM912907_MEL.bed	Mouse ErythroLeukaemic	[CL] MEL	Gata1	mm10	GSE36030	GSM912907	NULL
Gata2_GSM777091_G1ME_MK-Prog	Gata2_GSM777091_G1ME_MK-Prog.bed	Megakaryocyte Progenitors	[CL] G1ME (Gata1 null)	Gata2	mm10	GSE31331	GSM777091	NULL
Gfi1_GSM786037_MLL-ENL-Preleukemia	Gfi1_GSM786037_MLL-ENL-Preleukemia.bed	AML pre-leukaemic	[CL] MLL-ENL	Gfi1	mm10	GSE31657	GSM786037	Immortalized bone marrow progenitor cells WITH MLL-ENL
GR_GSM686976_4h_Adipocytes	GR_GSM686976_4h_Adipocytes.bed	Adipocytes	[CL] 3T3-L1 preadipocyte	Gcgr	mm10	GSE27826	GSM686976	Cells were induced with DMEM containing FBS; dexamethasone; insulin and 3-isobutyl-1-methylxanthine for 4 hrs.
GSM1003593_Kdm2a	GSM1003593_Kdm2a.bed	Embryonic stem cells	[PCL] V6.5 ES cells	Kdm2a	mm10	GSE41267	GSM1003593	N/A
GSM1003594_Kdm2b	GSM1003594_Kdm2b.bed	Embryonic stem cells	[PCL] V6.5 ES cells	Kdm2b	mm10	GSE41267	GSM1003594	N/A
GSM1003596_Rnf2	GSM1003596_Rnf2.bed	Embryonic stem cells	[PCL] E14 ES cells; control knockdown	Rnf2	mm10	GSE41267	GSM1003596	ES cells expressing control shRNA
GSM1003597_Kdm2b	GSM1003597_Kdm2b.bed	Embryonic stem cells	[PCL] E14 ES cells; control knockdown	Kdm2b	mm10	GSE41267	GSM1003597	ES cells expressing control shRNA
GSM1003599_Rnf2	GSM1003599_Rnf2.bed	Embryonic stem cells	[PCL] E14 ES cells; Kdm2b knockdown	Rnf2	mm10	GSE41267	GSM1003599	ES cells expressing shRNA targeting Kdm2b
GSM1003600_Kdm2b	GSM1003600_Kdm2b.bed	Embryonic stem cells	[PCL] E14 ES cells; Kdm2b knockdown	Kdm2b	mm10	GSE41267	GSM1003600	ES cells expressing shRNA targeting Kdm2b
GSM1004784_85_BatF_Th0	GSM1004784_85_BatF_Th0.bed	T-Cells	[PC] Th0	Batf	mm10	GSE40918	GSM1004784-GSM1004785	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hours.
GSM1004786_87_BatF_Th17	GSM1004786_87_BatF_Th17.bed	T-Cells	[PC] Th17	Batf	mm10	GSE40918	GSM1004786-GSM1004787	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004789_91_BatF_Th0	GSM1004789_91_BatF_Th0.bed	T-Cells	[PC] Th0	Batf	mm10	GSE40918	GSM1004789-GSM1004791	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004790_92_BatF_Th0	GSM1004790_92_BatF_Th0.bed	T-Cells	[PC] Th0 (IRF4 KO)	Batf	mm10	GSE40918	GSM1004790-GSM1004792	IRF4 KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004793_BatF_Th17	GSM1004793_BatF_Th17.bed	T-Cells	[PC] Th17	Batf	mm10	GSE40918	GSM1004793	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 16 hrs.
GSM1004794_96_BatF_Th17	GSM1004794_96_BatF_Th17.bed	T-Cells	[PC] Th17	Batf	mm10	GSE40918	GSM1004794-GSM1004796	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004795_97_BatF_Th17	GSM1004795_97_BatF_Th17.bed	T-Cells	[PC] Th17 (IRF4 KO)	Batf	mm10	GSE40918	GSM1004795-GSM1004797	IRF4 KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004799_800_cMaf_Th17	GSM1004799_800_cMaf_Th17.bed	T-Cells	[PC] Th17	Maf	mm10	GSE40918	GSM1004799-GSM1004800	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004802_03_Ctcf_Th0	GSM1004802_03_Ctcf_Th0.bed	T-Cells	[PC] Th0	Ctcf	mm10	GSE40918	GSM1004802-GSM1004803	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004804_05_Ctcf_Th17	GSM1004804_05_Ctcf_Th17.bed	T-Cells	[PC] Th17	Ctcf	mm10	GSE40918	GSM1004804-GSM1004805	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004806_07_Etv6_Th17	GSM1004806_07_Etv6_Th17.bed	T-Cells	[PC] Th17	Etv6	mm10	GSE40918	GSM1004806-GSM1004807	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004808_Fosl2_Th0	GSM1004808_Fosl2_Th0.bed	T-Cells	[PC] Th0	Fosl2	mm10	GSE40918	GSM1004808	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004809_10_Fosl2_Th17	GSM1004809_10_Fosl2_Th17.bed	T-Cells	[PC] Th17	Fosl2	mm10	GSE40918	GSM1004809-GSM1004810	CD4+CD25-CD62L+CD44lo/-naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004819_20_Hif1a_Th17	GSM1004819_20_Hif1a_Th17.bed	T-Cells	[PC] Th17	Hif1a	mm10	GSE40918	GSM1004819-GSM1004820	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004821_Irf4_Th0	GSM1004821_Irf4_Th0.bed	T-Cells	[PC] Th0	Irf4	mm10	GSE40918	GSM1004821	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004822_Irf4_Th0	GSM1004822_Irf4_Th0.bed	T-Cells	[PC] Th0 (Batf KO)	Irf4	mm10	GSE40918	GSM1004822	Batf -/- CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004823_24_Irf4_Th0	GSM1004823_24_Irf4_Th0.bed	T-Cells	[PC] Th0	Irf4	mm10	GSE40918	GSM1004823-GSM1004824	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were culture with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgammad for 48 hrs.
GSM1004825_Irf4_Th0	GSM1004825_Irf4_Th0.bed	T-Cells	[PC] Th0	Irf4	mm10	GSE40918	GSM1004825	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004826_Irf4_Th0	GSM1004826_Irf4_Th0.bed	T-Cells	[PC] Th0 (Baft KO)	Irf4	mm10	GSE40918	GSM1004826	Batf KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004827_Irf4_Th17	GSM1004827_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004827	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 16 hrs.
GSM1004828_Irf4_Th17	GSM1004828_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004828	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 3 hrs.
GSM1004829_Irf4_Th17	GSM1004829_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004829	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004830_Irf4_Th17	GSM1004830_Irf4_Th17.bed	T-Cells	[PC] Th17 (Baft KO)	Irf4	mm10	GSE40918	GSM1004830	Batf -/- CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004831_Irf4_Th17	GSM1004831_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004831	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004833_35_Irf4_Th17	GSM1004833_35_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004833-GSM1004835	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004834_36_Irf4_Th17	GSM1004834_36_Irf4_Th17.bed	T-Cells	[PC] Th17 (RORg KO)	Irf4	mm10	GSE40918	GSM1004834-GSM1004836	RORg KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004837_Irf4_Th17	GSM1004837_Irf4_Th17.bed	T-Cells	[PC] Th17	Irf4	mm10	GSE40918	GSM1004837	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004838_Irf4_Th17	GSM1004838_Irf4_Th17.bed	T-Cells	[PC] Th17 (Baft KO)	Irf4	mm10	GSE40918	GSM1004838	Batf KO CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004839_Kdm6b_Th17	GSM1004839_Kdm6b_Th17.bed	T-Cells	[PC] Th17	Kdm6b	mm10	GSE40918	GSM1004839	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004840_Kdm6b_Th17	GSM1004840_Kdm6b_Th17.bed	T-Cells	[PC] Th17	Kdm6b	mm10	GSE40918	GSM1004840	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004841_42_p300_Th0	GSM1004841_42_p300_Th0.bed	T-Cells	[PC] Th0	Ep300	mm10	GSE40918	GSM1004841-GSM1004842	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th0 conditions cultures were supplemented with anti-IL4 and anti-IFNgamma for 48 hrs.
GSM1004843_p300_Th17	GSM1004843_p300_Th17.bed	T-Cells	[PC] Th17 (Stat3 WT CD4-Cre)	Ep300	mm10	GSE40918	GSM1004843	Stat3 +/+ CD4-Cre CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004844_p300_Th17	GSM1004844_p300_Th17.bed	T-Cells	[PC] Th17 (Stat3 fl/fl CD4-Cre)	Ep300	mm10	GSE40918	GSM1004844	Stat3 fl/fl CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
GSM1004845_p300_Th17	GSM1004845_p300_Th17.bed	T-Cells	[PC] Th17	Ep300	mm10	GSE40918	GSM1004845	CD4+CD25-CD62L+CD44lo/- naive CD4+ T cells were isolated from spleen and lymph nodes. Naive CD4+ T cells were cultured with anti-CD3epsilon and anti-CD28 for TCR stimulation. For Th17 conditions cultures were supplemented with anti-IL4; anti-IFNgamma; IL-6 and TGFbeta for 48 hrs.
